comm_no,strategy,contract,lot
dljd,st301a_dljd_day,jd1809,1
dlj,st301a_dlj_day,j1809,1
dljd,st303a_dljd_day,jd1809,1
dlj,st303a_dlj_day,j1809,1
dljd,st304a_dljd_day,jd1809,1
dlj,st304a_dlj_day,j1809,1
dljd,st305a_dljd_day,jd1809,1
dlj,st305a_dlj_day,j1809,1
dljd,st306a_dljd_day,jd1809,1
dlj,st306a_dlj_day,j1809,1
dljd,st309a_dljd_day,jd1809,1
dlj,st309a_dlj_day,j1809,1
dljd,st310a_dljd_day,jd1809,1
dlj,st310a_dlj_day,j1809,1
dljd,st311a_dljd_day,jd1809,1
dlj,st314a_dlj_day,j1809,1
